URLNoticia;Fuente;Clasificacion;MedioPeriodistico;Titulo;Texto;TipoSitio;TituloIngles;TextoIngles
http://columbia.co.cr/index.php/reportajes/especiales/dia-internacional-de-la-mujer-2;http://columbia.co.cr/;1;Columbia;Los Rostros del Desempleo;"Detalles Redacción Los Rostros del Desempleo Detalles Creado: 12 Junio 2019

El secretario de ANEP, Albino Vargas, participó en el especial ""El Rostro del Desempleo,"" de Noticias Columbia, en el que se escuchan a todos los sectores con sus puntos de vista sobre esta ...";news;Faces of Unemployment;"Editorial details Faces of Unemployment details Created: June 12, 2019

Secretary of ANEP, Albino Vargas, participated in the special ""The Face of Unemployment,"" Columbia News, in which all sectors are heard with their views on this ..."
http://columbia.co.cr/index.php/reportajes/especiales/con-los-pies-en-la-luna;http://columbia.co.cr/;1;Columbia;Con los pies en la luna;"Detalles Alejandro Arley Con los pies en la luna Detalles Creado: 19 Julio 2019

El presidente de Estados Unidos, Donald Trump y la NASA, tienen marcado el 2024 en sus calendarios. Ese es el año en que enviarían la misión Artemisa a la Luna y en la que por primera vez ...";news;With the feet on the moon;"Alejandro Arley Details Down to the moon details Created: July 19, 2019

The US president, Donald Trump and NASA have marked 2024 on their calendars. That's the year that would send the Artemis mission to the moon and in which for the first time ..."
http://columbia.co.cr/index.php/noticias/internacionales/8292-el-salario-minimo-de-venezuela-toca-suelo-2-dolares;http://columbia.co.cr/;1;Columbia;El salario mínimo de Venezuela toca suelo: 2 dólares;"Caracas, 30 ago (EFE).- Hoy, por primera vez, millones de venezolanos reciben un dólar por concepto de pago quincenal de sueldos y pensiones. Este hecho es la confirmación de una crisis sin precedentes que ha rebajado el salario mínimo mensual a 2 dólares y que tiene a la mayoría de los ciudadanos en la miseria y sin indicios de mejorar a corto plazo.

Con el dólar estadounidense alrededor de los 20.000 bolívares, el salario mínimo de 40.000 bolívares que fija el Gobierno se traduce en 2 dólares mensuales, una cantidad que no alcanza para comprar un kilo de carne o un cartón de huevos.

Fotografía del 28 de septiembre del 2019 donde se observa un kilo de pasta junto a 25.000Bs, en Caracas (Venezuela).

Entre jubilados y empleados activos son casi 10 millones de personas las que esta semana recibieron en sus cuentas el equivalente a un dólar, según la cotización oficial del Banco Central (BCV) porque en el mercado paralelo, que rige toda la actividad económica, la moneda local está más devaluada todavía.



Siendo optimistas y con algo de suerte, cualquier venezolano que devenga este monto mensual puede comprarse una harina de maíz o un kilo de azúcar. Una vez se acaben estos productos, en dos o tres días, tendrá que esperar nuevamente hasta la siguiente quincena, cuando muy seguramente el salario será menor.



En los últimos 30 días, la moneda local -el bolívar- se devaluó el 50 % frente al dólar, que hoy cuesta el doble que a finales de julio, todo dentro de la hiperinflación nacional en la que los precios de bienes y servicios suben a veces diariamente.



""Hoy en Venezuela, el venezolano está ganando 2 dólares al mes (...) ¿qué pudieran hacer para mantener a su familia con 2 dólares al mes en una situación en la que no hay agua, no hay luz, que no hay transporte público?"", se preguntó esta semana el jefe del Parlamento, Juan Guaidó.



El líder opositor, reconocido como presidente interino de Venezuela por más de 50 países, recriminó esta realidad al Ejecutivo ""usurpador"" de Nicolás Maduro, al que no considera legítimo al igual que buena parte de la comunidad internacional.



El chavismo gobernante, en cambio, responsabiliza a la oposición y a las sanciones estadounidenses por el ""bloqueo"" de la actividad económica y, por ende, los culpan de la escasez de alimentos y medicinas, la recesión de pagos y la crisis en general.



Mientras tanto, el oficialismo mantiene su distribución de bolsas de comida a precios subsidiados, pero estas llegan cada dos meses, casi nunca incluyen proteínas y solo alcanzan para alimentar a una familia durante una semana.



Además, el Gobierno deposita bonificaciones casi mensualmente a unos 10 millones de venezolanos por distintos motivos, pero estas ayudas nunca superan los 100.000 bolívares o 5 dólares, un monto que se gasta en 2 kilos de detergente.



A estos alicientes hay que sumar el hecho de que algunas empresas pagan bonificaciones en dólares a sus empleados para preservarlos y más de un millón de familias recibe remesas de parte de los cinco millones de venezolanos que emigraron en el último sexenio huyendo de la crisis.



Nada de esto parece resolver la caída del poder adquisitivo en el país con las mayores reservas probadas de petróleo, donde cerca del 80 % de la población hoy come menos que hace cinco años y varios cientos de miles de personas, las menos afortunadas, apenas ingieren alimentos una vez por día.



""Estamos como los chivos (cabras), comiendo hierbas"", expresa Alberto Rodríguez mientras compra lo que puede en un mercado del municipio caraqueño de Chacao.



El hombre, de 70 años, subraya que todo ""está carísimo"" pero dice no estar sorprendido, pues Venezuela lleva dos años de hiperinflación. ""Yo creo que (los precios) los veo igual que siempre, cada día suben más, eso es diario y continuo, eso es una barbaridad"", señala.



Rodríguez cree que el salario mínimo no alcanza para nada, ni para las hierbas que él mismo compró, aseveración que es secundada por la joven Valentina Fernández, quien no es capaz de mencionar un solo producto por debajo de los 40.000 bolívares en que se ubica el salario mínimo.



""Nada cuesta 40.000 bolívares. Yo, que vendo charcutería, te puedo decir que eso no alcanza para nada, lo más económico, un queso y 50.000 bolívares vale el kilo"", expresa la comerciante de 29 años.



La baja actividad del otrora concurrido mercado da cuenta de la realidad nacional: una severa caída del consumo y una contracción económica del 50 % desde que Maduro asumió el poder en 2013.

Información de: Héctor Pereira";news;Venezuela's minimum wage floor plays: $ 2;"Caracas, Aug 30 (EFE) .- Today, for the first time, millions of Venezuelans receive one dollar per concept biweekly payment of salaries and pensions. This is the confirmation of an unprecedented crisis has lowered the minimum monthly salary to $ 2 and having most destitute citizens without evidence of improvement in the short term.

With the US dollar around 20,000 bolivars, the minimum wage of 40,000 bolivars set by the government translates into $ 2 per month, an amount that is not enough to buy a kilo of meat or an egg carton.

Photograph September 28, 2019 where a kilo of pasta is observed by 25.000Bs in Caracas (Venezuela).

Among retirees and active employees are nearly 10 million people this week received in their accounts equivalent to one dollar, according to the official rate of the Central Bank (BCV) because in the parallel market, which governs all economic activity, currency Local is more debased yet.



Being optimistic and with some luck, any Venezuelan who earns this monthly amount can buy a cornmeal or a kilo of sugar. Once these products are finished in two or three days, you will have to wait again until the next fortnight, when the salary will almost certainly lower.



Over the past 30 days, the local currency, the Bolivar devalued 50% against the dollar, now costs twice that in late July, all within the national hyperinflation in prices of goods and services up to times daily.



""Today in Venezuela, the Venezuelan is earning $ 2 a month (...) what they could do to support his family on $ 2 a month in a situation where there is no water, no light, no transport public? ""asked this week the head of Parliament, Juan Guaidó.



Opposition leader recognized as interim president of Venezuela for more than 50 countries protested about the ""usurper"" executive Nicolas Maduro, who does not consider legitimate as much of the international community this reality.



The ruling Chavez, however, blames the opposition and US sanctions by the ""blocking"" of economic activity and therefore the blame shortages of food and medicine, the recession of payments and the crisis in general.



Meanwhile, the government maintains its distribution of bags of food at subsidized prices, but they arrive every two months, almost never include proteins and only enough to feed a family for a week.



The Government deposit bonuses almost monthly to about 10 million Venezuelans for different reasons, but the aid never exceed 100,000 bolivars or $ 5, the amount spent on 2 kilos of detergent.



These incentives must be added the fact that some companies pay bonuses to its employees dollars to preserve and more than one million families receive remittances from the five million Venezuelans who emigrated in the last six years running from the crisis.



None of this seems to solve the drop in purchasing power in the country with the largest proven oil reserves, where about 80% of the population today eat less than five years ago and hundreds of thousands of people less fortunate, just eat food once a day.



""We are like goats (goats), eating grass,"" he says Alberto Rodriguez buy what you can while in a market in Caracas municipality of Chacao.



Man, 70, points out that everything is ""expensive"" but says he was not surprised, because Venezuela has two years of hyperinflation. ""I think (prices) I see as always, every day up more, that is daily and continuous, that is outrageous,"" he says.



Rodriguez believes that the minimum wage is not enough for anything, not for herbs that he bought assertion is supported by the young Valentina Fernandez, who is unable to name a single product below 40,000 bolivars in which lies the minimum salary.



""Nothing costs 40,000 bolivars. I, I sell charcuterie, I can tell you that's not enough at all, as economical, cheese and 50,000 bolivars worth kilo,"" says the trader of 29 years.



The low activity of once busy market realizes the national reality: a severe drop in consumption and an economic contraction of 50% since Maduro took office in 2013.

Information: Hector Pereira"
http://columbia.co.cr/index.php/deportes/futbol-nacional/8291-jafet-soto-traian-una-estrategia-de-meter-un-gol-y-tirarse-al-suelo;http://columbia.co.cr/;1;Columbia;"Jafet Soto ""Traían una estrategia de meter un gol y tirarse al suelo""";"El técnico del Club Sport Herediano, Jafet Soto se refirió a la eliminación de su equipo en la Liga Concacaf ante el Waterhouse de Jamaica.

""De los primeros 20 minutos se jugarán ocho, en el primer tiempo la camilla entro 4 veces, en el segundo tiempo el portero hizo lo que quiso; cuando se ven este tipo de partido a uno le da vergüenza"".

Sobre su equipo Jafet mencionó que les falto calidad y capacidad para no llegar a la definición desde los once pasos.

""Generamos opciones para matar en partido en el primer tiempo, no fuimos contundentes, paso lo mismo que en Jamaica, no hay una justificación que valga para decirle a nuestra afición que estamos fuera de la Liga Concacaf"".

Sobre el torneo nacional

""Ahora queda ganar el campeonato (nacional) paso a paso, buscando clasificar y pelear el titulo; ocupamos carácter para sacar el proximo partido ante Saprissa es un clásico"".";news;"Jafet Soto ""They brought a strategy to score a goal and get on the ground""";"The coach of Club Sport Herediano, Jafet Soto referred to the elimination of his team in the Concacaf League against Jamaica Waterhouse.

""In the first 20 minutes will be played eight first-half gurney entered 4 times in the second half the goalkeeper did what I wanted, when they see this kind of game one is embarrassed.""

Jafet on your team mentioned that they lacked quality and ability to not reach the definition from the eleven steps.

""We generate options to kill game in the first half, we were not strong, the same thing happened in Jamaica, there is no justification worth to tell our fans that we are out of the CONCACAF Champions League.""

On the national tournament

""Now is winning the championship (national) step by step, looking sort and fight for the title, occupy character to make the next game against Saprissa is a classic""."
http://columbia.co.cr/index.php/deportes/futbol-nacional/8290-el-waterhouse-deja-fuera-al-herediano-en-los-penales;http://columbia.co.cr/;1;Columbia;El Waterhouse deja fuera al Herediano en los penales;"El Club Sport Herediano y el Waterhouse definieron la serie de los octavos de final de la Liga Concacaf desde los once pasos, donde los jamaiquinos salieron con la victoria del Rosabal.

Tanto el partido de ida, como el de vuelta finalizaron 1-1.

Los florenses abrieron el marcador a los 2 minutos de juego, la anotación obra de Yeltsin Tejeda.

Sin embargo el equipo jamaiquino logró reaccionar, y minuto más tarde puso el 1-1 por intermedio de Colorado Murray. Con el (1-1) en el marcador ambos equipos se fueron al descanso.

En la segunda parte el Waterhouse puso el partido en el congelador buscando los penales; los cuales les darían el pasa a los cuarto de final.

Los jamaiquinos enfrentaran en la próxima ronda al Motagua de Honduras.";news;Waterhouse leaves out the Herediano on penalties;"The Club Sport Herediano and Waterhouse series defined the second round of the CONCACAF Champions League from the eleven steps, where the Jamaicans came out with the victory of Rosabal.

Both the first leg back as they finished 1-1.

Fiore opened the scoring after 2 minutes, the annotation work of Yeltsin Tejeda.

However Jamaican team achieved react, and minutes later put the 1-1 through Colorado Murray. In (1-1) the lead both teams went into the break.

In the second half put the game Waterhouse in the freezer seeking criminal; which they would give them passes to the quarterfinal.

Jamaicans will face in the next round Motagua of Honduras."
http://columbia.co.cr/index.php/noticias/economia/8289-diputados-aprueban-multas-para-sancionar-practicas-contrarias-a-la-sana-competencia;http://columbia.co.cr/;1;Columbia;Diputados aprueban multas para sancionar prácticas contrarias a la sana competencia;"



Los diputados aprobaron, en segundo debate, el proyecto de ley que endurece las multas para las empresas que realicen prácticas contrarias al comercio justo y la sana competencia.

Las infracciones leves serán sancionadas mediante una multa entre el 0,1% y hasta el 3% del volumen de sus negocios.

Las infracciones muy graves serán sancionadas mediante una multa entre el 0,1% y hasta 10% del volumen de negocios.

La ministra de Comercio Exterior, Dyalá Jiménez, explicó que los consumidores y empresas se verán beneficiados.

La iniciativa contempla el nombramiento de comisionados a tiempo completo en la Comisión para la Promoción de la Competencia (Coprocom).

La reforma avalada es uno de los requisitos para que el país ingrese a la Organización para la Cooperación y el Desarrollo Económicos (OCDE).";news;Deputies approve fines to punish practices contrary to healthy competition;"



MEPs approved in second debate, the bill toughens penalties for companies that conduct contrary to fair trade and fair competition practices.

Minor breaches will be sanctioned by a penalty between 0.1% to 3% of the volume of business.

Very serious breaches will be sanctioned by a penalty between 0.1% to 10% of turnover.

Minister of Foreign Trade, Dyalá Jimenez, explained that consumers and businesses will benefit.

The initiative provides for the appointment of full-time commissioners in the Commission for the Promotion of Competition (COPROCOM).

Backed reform is one of the requirements for the country to join the Organization for Economic Co-operation and Development (OECD)."
http://columbia.co.cr/index.php/deportes/futbol-nacional/8288-situacion-de-david-ramirez-cambia-por-completo-y-esta-cerca-de-llegar-a-saprissa;http://columbia.co.cr/;1;Columbia;Situación de David Ramírez cambia por completo y está cerca de llegar a Saprissa;"La tarde de este jueves cuando el Saprissa arribó al aeropuerto Juan Santamaría proveniente de El Salvador, Evaristo Coronado trajo consigo una noticia al saprissismo.

El gerente deportivo atendió a los medios de comunicación y comentó el cambio total que se ha dado en las últimas horas con la posible incorporación de David Ramírez al plantel morado.

""El tema de David ya está solo en el proceso legal. El fichaje está en un 70-80% para que se logre, es bastante porque al medio día estábamos diría a un 10%. Durante el día nos llegó la información de que el club de allá (Omonia Nicosia) aceptó nuestra propuesta y por eso ahora el que está corriendo es Fausto González (abogado), les puedo decir que ya sólo falta la inscripción, ya todo lo demás está listo"", manifestó Coronado en el aeropuerto.

Cabe destacar que, a pesar de que el periodo de inscripciones ya cerró, Saprissa podría acudir a un periodo de protección que tienen los jugadores que provienen del extranjero, precisamente este proceso legal es el que se encuentra asumiendo Fausto para que el delantero pueda ser inscrito por la ""S"".

Ramírez aún se encuentra en Chipre pero se espera que en las próximas horas ya viaje a Costa Rica y pueda sumarse a los trabajos del equipo de Wálter Centeno.";news;David Ramirez situation changes completely and is close to reaching Saprissa;"Thursday afternoon when Saprissa arrived at Juan Santamaria Airport from El Salvador, Evaristo Coronado brought news to saprissismo.

The sports manager attended the media and said the total change that has occurred in the last hours with the possible addition of David Ramirez to purple campus.

""The theme of David is already alone in the legal process. The signing is 70-80% to be achieved, is enough because at noon we were say 10%. During the day we got the information that the club there (Omonia Nicosia) accepted our proposal and so now is running on is Fausto González (lawyer), I can tell you now only need registration, and everything else is ready, ""said Coronado at the airport.

Notably, even though the registration period has already closed, Saprissa could go to a period of protection that players who come from abroad, precisely this legal process is what is taking Fausto for the striker to be registered by"".

Ramirez still in Cyprus but it is expected that in the coming hours and trip to Costa Rica and to join the work team Centeno."
http://columbia.co.cr/index.php/noticias/economia/8287-festival-de-turismo-turrialba-2019-se-celebra-este-fin-de-semana;http://columbia.co.cr/;1;Columbia;Festival de Turismo Turrialba 2019 se celebra este fin de semana;"Durante todo este fin de semana el Festival de Turismo Turrialba celebrará su segunda edición.

El objetivo del evento es promover a Turrialba como destino a nivel nacional. El año pasado el festival atrajo a una gran cantidad de público y la organización espera repetir el éxito nuevamente.

La entrada al festival es gratuita, pero quienes viajen en automóvil deberán pagar 3000 colones de parqueo.

En el evento se podrá disfrutar de una gran variedad de actividades deportivas, culturales y gastronómicas, comentó Milagro Arias, vicepresidenta de la Cámara de Turismo de Turrialba.

Arias añadió que el festival es un evento para toda la familia y se aceptará el ingreso de mascotas.

La organización hizo la invitación a los habitantes de todo el país para que vayan y conozcan lo mejor del cantón.";news;Turrialba Tourism Festival 2019 this weekend is celebrated;"Throughout this weekend Turrialba Tourism Festival will hold its second edition.

The aim of the event is to promote Turrialba destination nationwide. Last year the festival attracted a large audience and the organization hopes to repeat the success again.

Admission to the festival is free, but those traveling by car will have to pay 3000 colones parking.

In the event you can enjoy a variety of sporting, cultural and gastronomic activities, said Milagro Arias, vice president of the Chamber of Tourism of Turrialba.

Arias added that the festival is an event for the whole family and admission of pets will be accepted.

The organization made the invitation to people around the country to go and meet the best of the canton."
http://columbia.co.cr/index.php/deportes/deportes-en-costa-rica/8286-mecanico-de-seleccion-de-mtb-se-pago-tiquetes-con-tal-de-ayudar-a-sus-companeros-en-el-mundial-de-canada;http://columbia.co.cr/;1;Columbia;Mecánico de selección de MTB se pagó tiquetes con tal de ayudar a sus compañeros en el mundial de Canadá;"Luis Carlos Araya mecánico de la selección de MTB de Costa Rica no dudó un solo instante en hacer un esfuerzo y pagar de su propia bolsa los boletos de avión para viajar al mundial de Quebec y ayudar a sus compañeros los ciclistas Andrey Fonseca, Carlos Herrera Jonathan Quesada, Milagro Mena y al técnico Andrés Brenes.

“Me puse a pensar y dije, ‘si ellos van a estar yo tengo que estar ahí, tengo que ver de qué manera logro llegar allá aunque no tengamos el apoyo’, obviamente no estaba en mi presupuesto hacer este viaje con gastos propios”, indicó Araya.

Luego de contactar a un amigo piloto de una aerolínea que le ayudó con el traslado desde Costa Rica hasta New York, Luis Carlos tuvo que buscar una opción para llegar a Canadá y esa fue viajar en tren.

Lea además: ¡Real Madrid vs. PSG en primera ronda de la Champions!

“Tenía una plata mía y con la ayuda de mi mamá que siempre me apoya en estas cosas es mi soporte y me echó la mano también, entonces compré el tiquete de avión y compré los de tren y me quedé sin un cinco para viáticos, el viaje estaba cerca y no teníamos ni siquiera claridad si iba a ver algún apoyo de parte del comité olímpico o federación”, agregó.

Sin embargo como si se tratase de una novela, finalmente la ayuda por parte del ente olímpico nacional si llegó, pero no completamente.

“Entonces apareció la ayuda del comité olímpico pero no va haber remuneración del tiquete que compramos, no obstante si nos van a dar los viáticos entonces eso fue por ese lado un poco de alivio para mí”, subrayó.

Aparte de esta ayuda parcial dada por el comité, el mecánico de la Sele también agradeció a otras personas que han estado dando soporte desde tiempo atrás.

“Detrás de todo esto ha habido gente mezclada una de ellas es Meyzel Villalobos que nos ha ayudado desde hacernos el trámite de la visa, hacernos toda la logística para viajar y nos ha ayudado exageradamente un montón y aún sigue pendiente de cómo nos está yendo”, apuntó.

Este mundial es sumamente importante para Costa Rica, ya que prácticamente es la última oportunidad para buscar la clasificación a los Juegos Olímpicos de Tokyo por parte de los ciclistas ticos.

Aparte de Luis Carlos, Jonathan Quesada, Andrey Fonseca y Carlos Herrera también tuvieron que pagar sus pasajes aéreos para estar en suelo norteamericano.

La federación costarricense de ciclismo no aportó ningún monto económico a la delegación.";news;MTB mechanic selection of tickets paid just to help their peers in the world of Canada;"Luis Carlos mechanical Araya selection MTB Costa Rica did not hesitate a moment to make an effort and pay your own bag plane tickets to travel to the world of Quebec and help fellow bikers Andrey Fonseca, Carlos Herrera Jonathan Quesada, Milagro Mena and technical Andrés Brenes.

""I started thinking and I said, 'if they are going to be I have to be there, I have to see what achievement so get there even if we support' obviously was not in my budget to make this trip with own expenses"" Araya said.

After contacting an airline pilot who helped with the relocation friend from Costa Rica to New York, Luis Carlos had to look for an option to get to Canada and that was traveling by train.

Read also: Real Madrid vs. PSG in the first round of the Champions!

""I had a mine and with the help of my mom silver always supports me in these things is my support and I threw hand too, then bought the plane ticket and bought the train and I lost five for travel expenses, the trip was close and we did not even clear whether he would see some support from the Olympic committee or federation, ""he added.

But as if it were a novel, finally support by the national Olympic body if it came, but not completely.

""Then came the help of the Olympic Committee but will not be paid the ticket we buy, however if we are going to give per diems then that was on that side some relief for me,"" he said.

Apart from this given partial support by the committee, the mechanic Sele also thanked others who have been supporting for some time.

""Behind all this there have been people mixed one of them is Meyzel Villalobos who helped us from ourselves the visa process, making us all the logistics for travel and has exaggeratedly helped us a lot and still pending on how we are doing"" he said.

This world is extremely important for Costa Rica, since practically is the last opportunity to seek qualification for the Olympic Games in Tokyo by Ticos cyclists.

Aside from Luis Carlos, Jonathan Quesada, Andrey Fonseca and Carlos Herrera also had to pay their airfare to be on American soil.

Costa Rican Cycling Federation did not provide any financial amount to the delegation."
http://columbia.co.cr/index.php/noticias/internacionales/8285-duque-dice-que-no-hay-una-nueva-farc-sino-narcoterroristas-apoyados-por-maduro;http://columbia.co.cr/;1;Columbia;Duque dice que no hay una nueva FARC sino narcoterroristas apoyados por Maduro;"Bogotá, 29 ago (EFE).- El presidente de Colombia, Iván Duque, aseguró este jueves que el regreso a las armas de exjefes disidentes de las FARC no supone el surgimiento de una nueva guerrilla sino de una banda narcoterrorista apoyada por el mandatario venezolano, Nicolás Maduro.

""Los colombianos debemos tener claridad de que no estamos ante el nacimiento de una nueva guerrilla, sino frente a las amenazas criminales de una banda de narcoterroristas que cuenta con el albergue y el apoyo de la dictadura de Nicolás Maduro"", manifestó Duque en una declaración al país.



En su primer pronunciamiento luego de que alias ""Iván Márquez"" dijera en un video que junto con otros exjefes de las FARC retomó las armas, Duque afirmó que conversó con Juan Guaidó, reconocido por más de 50 países como presidente legítimo de Venezuela, a quien le pidió respaldo para capturar al ""grupo criminal"".



""He conversado con el presidente legítimo de Venezuela, Juan Guaidó, pidiendo su respaldo y su apoyo a la Justicia colombiana para la captura de este grupo criminal, auspiciado por la dictadura de Maduro"", detalló.



Por otro lado, el mandatario pidió a la comunidad internacional unirse al pueblo de Colombia ""en el rechazo inequívoco a estas amenazas criminales y que entreguen a estos terroristas"".



Recordó que los Estados que brinden ""protección al terrorismo violan la Resolución 1373 del Consejo de Seguridad de Naciones Unidas"".



""Ningún país puede albergarlos y por eso avanzaremos en la expedición de las circulares rojas de Interpol"" para los disidentes, señaló.



El gobernante colombiano también fijo una recompensa de 3.000 millones de pesos (unos 872.000 dólares de hoy) por información que conduzca a la captura de ""cada uno de los delincuentes de ese video"".



Duque también ordenó la conformación de una unidad especial para la persecución de estos criminales con capacidades reforzadas de inteligencia, investigación y movilidad en todo el territorio colombiano.



Igualmente pidió al país no caer ""en la trampa de quienes pretenden escudarse detrás de falsos ropajes ideológicos para sostener sus andamiajes delictivos"".



Según el jefe de Estado, ""este grupo de delincuentes pretende burlarse del pueblo colombiano, y no se lo vamos a permitir"".



También aseguró que habló con la presidenta de la Justicia Especial para la Paz (JEP), Patricia Linares, frente a ""la urgente necesidad de la expulsión de estos criminales de la justicia transicional"".



De la misma manera, espera que el partido Fuerza Alternativa Revolucionaria del Común (FARC) expulse de forma ""inmediata y sin contemplaciones de todos los delincuentes que aparecen en ese video"".



Entre quienes le acompañan a Márquez en el video están Seuxis Paucias Hernández, alias ""Jesús Santrich"", y a Hernán Darío Velásquez, alias ""El Paisa"", que hace meses dejaron de cumplir sus compromisos con la JEP.



""Nuestro mensaje es claro: quienes han optado por el camino de la legalidad bajo los principios de Verdad, Justicia, Reparación y No Repetición, seguirán contando con el compromiso del Estado. Quienes escojan la ruta de la criminalidad, sufrirán todo el peso de la ley"", concluyó.";news;Duke says there is a new FARC narco-supported but you Maduro;"Bogota, 29 ago (EFE) .- The president of Colombia, Ivan Duque, said Thursday that the return to weapons of dissident former heads of the FARC does not mean the emergence of a new guerrilla band but a narco supported by the Venezuelan president Nicolas Maduro.

""Colombians should be clear that we are not witnessing the birth of a new guerrilla, but against criminal threats of a band of narco featuring the shelter and support of the dictatorship of Nicolas Maduro,"" said Duque said in a statement to the country.



In his first statement after alias ""Ivan Marquez"" said in a video along with other former heads of the FARC took up arms, Duque said he spoke with Juan Guaidó, recognized by more than 50 countries as the legitimate president of Venezuela, whom he asked back to capture the ""criminal group"".



""I have spoken with the legitimate president of Venezuela, Juan Guaidó, asking for their support and their support for the Colombian justice system to catch this criminal group, sponsored by the dictatorship Maduro"" he explained.



On the other hand, the president called on the international community to join the people of Colombia ""in the unequivocal rejection of these criminal threats and deliver these terrorists"".



He recalled that States provide ""protection terrorism violate Resolution 1373 United Nations Security Council.""



""No country can hold them and thus make progress on the issue of Interpol red circular"" for dissidents he said.



The Colombian president also set a reward of 3,000 million pesos (about $ 872,000 today) for information leading to the capture of ""each of the criminals of that video.""



Duke also ordered the creation of a special unit to prosecute these criminals with enhanced intelligence, research and mobility capabilities throughout Colombia.



He also asked the country will not fall ""into the trap of those who seek to hide behind false ideological garb to support their criminal scaffoldings"".



According to the head of state, ""this group of criminals intended to mock the Colombian people, and we will not allow.""



He also said he spoke with the president of the Special Justice for Peace (JEP), Patricia Linares, against ""the urgent need for the removal of these criminals transitional justice"".



Similarly, he expects the Alternative Party Revolutionary Force Common (FARC) expels so ""immediately and unceremoniously of all offenders who appear in the video.""



Among those accompanying him Márquez in the video are Seuxis Paucias Hernandez, alias ""Jesus Santrich"", and Hernan Dario Velasquez, alias ""El Paisa"", which for months failed to fulfill its commitments to the JEP.



""Our message is clear. Who have chosen the path of legality under the principles of truth, justice, reparation and non-repetition, will continue to be the State's commitment who choose the path of crime, they will suffer the full weight of the law, ""he said."
